<<<<<<< HEAD
Date,ROI
2020-02-12,-0.05840213041148703
2020-02-13,0.7781798100257058
2020-02-14,7.404865326221935
2020-02-15,-0.3313069772082935
2020-02-16,-0.9931512965529408
2020-02-17,0.9783305792982444
2020-02-18,6.36692862152633
2020-02-19,-1.487167370946863
2020-02-20,-1.9789934490384489
2020-02-21,0.7646275303374657
2020-02-22,-0.6337573963744048
2020-02-23,4.265297215866478
2020-02-24,1.0781903623466853
2020-02-25,-5.663466717238099
2020-02-26,-14.90838322391927
2020-02-27,-14.430350362920294
2020-02-28,-13.895673217912558
2020-02-29,-17.578627910527345
2020-03-01,-17.770598084328434
2020-03-02,-11.845000301008596
2020-03-03,-15.178321842829256
2020-03-04,-15.057635274258514
2020-03-05,-13.299997169249615
2020-03-06,-6.129342338872449
2020-03-07,-8.838690905105233
2020-03-08,-13.950833596334917
2020-03-09,-14.107739132686131
2020-03-10,-13.047434327311061
2020-03-11,-15.686017725851398
2020-03-12,-60.26234866555397
2020-03-13,-37.79257476019791
2020-03-14,-44.82290600165013
2020-03-15,-44.31034757967034
2020-03-16,-55.11526367436482
2020-03-17,-49.07268652601019
2020-03-18,-48.42162914100762
2020-03-19,-32.17217205834598
2020-03-20,-36.270511622381534
2020-03-21,-35.85865843046208
2020-03-22,-43.16381418037888
2020-03-23,-32.11740695614673
2020-03-24,-30.110935041833958
2020-03-25,-32.00137675659402
2020-03-26,-30.085004341131558
2020-03-27,-35.76688167242719
2020-03-28,-35.29116418698259
2020-03-29,-40.07778939862236
2020-03-30,-34.17980125746447
2020-03-31,-33.55243848310357
2020-04-01,-31.832188488351512
2020-04-02,-28.263398976776074
2020-04-03,-27.79855052964863
2020-04-04,-25.676295667210972
2020-04-05,-26.597053212037284
2020-04-06,-7.319591553873632
2020-04-07,-10.900072784464175
2020-04-08,-5.755279718068164
2020-04-09,-7.332271503769633
2020-04-10,-14.65038182857817
2020-04-11,-14.136360533631041
2020-04-12,-13.215166747947695
2020-04-13,-15.140248660481337
2020-04-14,-14.25252892957586
2020-04-15,-17.49379060806634
2020-04-16,-5.15412619017512
2020-04-17,-5.7799647599912145
2020-04-18,3.812338364384809
2020-04-19,0.02261087575460463
2020-04-20,-5.2732659612454835
2020-04-21,-5.306873383566237
2020-04-22,1.6493886213364517
2020-04-23,2.9481811866996512
2020-04-24,4.296427161799726
2020-04-25,8.07525370992986
2020-04-26,9.833744426026842
2020-04-27,9.414673306314207
2020-04-28,10.036265917723505
2020-04-29,19.039291577990078
2020-04-30,14.648227663572204
2020-05-01,17.71878414500445
2020-05-02,18.699974733977786
2020-05-03,17.062691935253994
2020-05-04,15.445103461146338
2020-05-05,14.251748813395718
2020-05-06,11.622878589492178
2020-05-07,18.152751151802956
2020-05-08,17.60499576598257
2020-05-09,17.182823872003592
2020-05-10,6.569265541248303
2020-05-11,5.388133663357014
2020-05-12,5.388133663357014
=======
Date,Total Gain/Loss,Unrealized Gain/Loss,Realized Gain/Loss
2020-02-12,-1.5553383000003582e-15,-1.5553383000003582e-15,0.0
2020-02-13,2.071111009999973e-14,2.071111009999973e-14,0.0
2020-02-14,1.9856236840000028e-13,1.9856236840000028e-13,0.0
2020-02-15,-2.282489139999997e-14,-2.282489139999997e-14,0.0
2020-02-16,-4.029975540000023e-14,-4.029975540000023e-14,0.0
2020-02-17,1.1409328099999763e-14,1.1409328099999763e-14,0.0
2020-02-18,1.5553076089999993e-13,1.5553076089999993e-13,0.0
2020-02-19,-6.58513958999999e-14,-6.58513958999999e-14,0.0
2020-02-20,-7.862560429999979e-14,-7.862560429999979e-14,0.0
2020-02-21,-7.715958499999706e-15,-7.715958499999706e-15,0.0
2020-02-22,-4.484919489999986e-14,-4.484919489999986e-14,0.0
2020-02-23,8.342295620000036e-14,8.342295620000036e-14,0.0
2020-02-24,-4.113365900000288e-15,-4.113365900000288e-15,0.0
2020-02-25,-1.8337672410000013e-13,-1.8337672410000013e-13,0.0
2020-02-26,-4.126300038999999e-13,-4.126300038999999e-13,0.0
2020-02-27,-4.018717627e-13,-4.018717627e-13,0.0
2020-02-28,-3.8978120680000005e-13,-3.8978120680000005e-13,0.0
2020-02-29,-4.735084733000001e-13,-4.735084733000001e-13,0.0
2020-03-01,-4.777119383999999e-13,-4.777119383999999e-13,0.0
2020-03-02,-3.482114698e-13,-3.482114698e-13,0.0
2020-03-03,-4.2537592659999997e-13,-4.2537592659999997e-13,0.0
2020-03-04,-4.226752297999999e-13,-4.226752297999999e-13,0.0
2020-03-05,-3.832957323999999e-13,-3.832957323999999e-13,0.0
2020-03-06,16.348072129999778,16.348072129999778,0.0
2020-03-07,9.728216869999741,9.728216869999741,0.0
2020-03-08,-2.4240609800006467,0.0,-2.4240609800006467
2020-03-09,-2.4871232680006514,-0.06306228800000468,-2.4240609800006467
2020-03-10,-2.0616422220006427,0.0,-2.0616422220006427
2020-03-11,-2.3269175725006956,-0.2652753505000529,-2.0616422220006427
2020-03-12,-6.690239681501565,-4.628597459500922,-2.0616422220006427
2020-03-13,-5.471230628501322,-3.4095884065006796,-2.0616422220006427
2020-03-14,-5.938333925001414,-3.8766917030007715,-2.0616422220006427
2020-03-15,-5.9066731310014084,-3.8450309090007657,-2.0616422220006427
2020-03-16,-6.577514991001542,-4.515872769000899,-2.0616422220006427
2020-03-17,-6.242887299001476,-4.181245077000833,-2.0616422220006427
2020-03-18,-6.204654225001468,-4.143012003000825,-2.0616422220006427
2020-03-19,-5.244198953001277,-3.182556731000634,-2.0616422220006427
2020-03-20,-5.525801878001333,-3.4641596560006906,-2.0616422220006427
2020-03-21,-5.498662631501327,-3.4370204095006844,-2.0616422220006427
2020-03-22,-5.982021634001423,-3.9203794120007807,-2.0616422220006427
2020-03-23,-5.304509683001289,-3.242867461000646,-2.0616422220006427
2020-03-24,-5.167852171501261,-3.1062099495006184,-2.0616422220006427
2020-03-25,-5.2991904870012885,-3.2375482650006457,-2.0616422220006427
2020-03-26,-5.168567569001262,-3.106925347000619,-2.0616422220006427
2020-03-27,-5.56327498000134,-3.5016327580006976,-2.0616422220006427
2020-03-28,-5.532105634001335,-3.470463412000692,-2.0616422220006427
2020-03-29,-5.847220662001397,-3.785578440000754,-2.0616422220006427
2020-03-30,-5.477527391501323,-3.4158851695006804,-2.0616422220006427
2020-03-31,-5.435884190501315,-3.374241968500672,-2.0616422220006427
2020-04-01,-5.320980754501291,-3.2593385325006485,-2.0616422220006427
2020-04-02,-5.078504171501243,-3.0168619495006004,-2.0616422220006427
2020-04-03,-5.045793523001237,-2.984151301000594,-2.0616422220006427
2020-04-04,-4.895759608501207,-2.834117386500564,-2.0616422220006427
2020-04-05,-4.96223449200122,-2.900592270000577,-2.0616422220006427
2020-04-06,-3.5832962245009448,-1.521654002500302,-2.0616422220006427
2020-04-07,-3.8887846540010074,-1.8271424320003646,-2.0616422220006427
2020-04-08,-3.465545112500923,-1.4039028905002802,-2.0616422220006427
2020-04-09,-3.6019517570009487,-1.540309535000306,-2.0616422220006427
2020-04-10,-4.224971317001073,-2.1633290950004307,-2.0616422220006427
2020-04-11,-4.1844131125010655,-2.122770890500423,-2.0616422220006427
2020-04-12,-4.111353854501051,-2.049711632500408,-2.0616422220006427
2020-04-13,-4.265437253501082,-2.203795031500439,-2.0616422220006427
2020-04-14,-4.195752067501068,-2.1341098455004257,-2.0616422220006427
2020-04-15,-4.452446820501119,-2.390804598500476,-2.0616422220006427
2020-04-16,-3.506870816000932,-1.4452285940002891,-2.0616422220006427
2020-04-17,-3.560745972000941,-1.4991037500002982,-2.0616422220006427
2020-04-18,-2.7401628365007777,-0.678520614500135,-2.0616422220006427
2020-04-19,-3.0954567180008485,-1.0338144960002058,-2.0616422220006427
2020-04-20,-3.573138928500944,-1.511496706500301,-2.0616422220006427
2020-04-21,-3.5760097440009453,-1.5143675220003026,-2.0616422220006427
2020-04-22,-2.981991162500826,-0.9203489405001832,-2.0616422220006427
2020-04-23,-2.8633678330008028,-0.80172561100016,-2.0616422220006427
2020-04-24,-2.738628414000779,-0.6769861920001361,-2.0616422220006427
